1::George Lucas::420
2::Mark Hamill::260|332|1196|1210|2549|3213|3709
3::Harrison Ford::7|260|349|457|478|541|1196|1198|1208|1210|1291|1488|1608|1674|1894|2115|2245|2734|2906|3256|3363|3519|3730|3798
4::Carrie Fisher::260|1126|1196|1210|1220|1307|2072|3048|3099|3273|3712
5::Peter Cushing::260|1941|2634|2645|2652|2729|3126|3490|3648|3757
6::Anthony Daniels::260|1196|1210|2116|2628
7::Andrew Stanton::1|3114
8::Lee Unkrich::3114
11::David Reynolds::2473
12::Alexander Gould::1835
13::Albert Brooks::111|472|528|1135|1414|1677|1911|1912|1958|2243|2829|3358
14::Ellen DeGeneres::102|435|1911|2567|2586|2629
18::Brad Garrett::158|743|1799|2355|3129
19::Allison Janney::277|382|438|664|803|994|1113|1476|1635|1810|1821|1894|2295|2356|2572|2718|2858|3893
20::Elizabeth Perkins::182|277|355|2262|2751|2797|2977|3534
22::Barry Humphries::249|1749|1760|1793
23::Bill Hunter::120|342|345|1188
29::Steve Tisch::1167
31::Tom Hanks::1|150|356|508|539|581|1042|2028|2072|2100|2375|2418|2424|2797|2930|3114|3130|3147|3255|3385|3525
32::Robin Wright::78|356|650|1197|1600|2253|2435|2497
33::Gary Sinise::150|303|356|832|1352|2126|3147|3271|3316|3354
34::Mykelti Williamson::4|6|46|169|356|455|1523|1552|1810|1862|2890
35::Sally Field::61|356|500|609|1015|2270|2537|3111|3501|3565|3712|3844
36::Don Burgess::1410
40::Orson Welles::923|1205|1212|1248|1949|2301|3215|3396
42::Lars von Trier::3569
47::Björk::3910
48::Sean Bean::10|98|421|1496|2278|3256
49::Maria Bello::2271|2490|3825|3901
50::Catherine Deneuve::154|199|621|827|1415|2943|3075|3357|3550|3749|3910
51::Richard Elfyn::822
52::David Morse::32|78|459|733|1003|1047|1584|2058|2977|3147|3497|3898|3910
53::Peter Stormare::608|1544|1647|1732|1833|1917|2068|2505|3105|3899|3910
54::Maurice Roëves::173|1408|2765
59::Luc Besson::1216
62::Bruce Willis::18|32|165|281|296|436|505|544|996|1036|1370|1405|1527|1687|1833|1917|2267|2334|2507|2762|2961|3068|3130|3258|3301|3394|3734|3784
63::Milla Jovovich::441|1353|1527|1840|3053
64::Gary Oldman::191|249|280|521|555|851|1243|1339|1527|1608|1831|1881|2348|3386|3547|3952
65::Ian Holm::272|273|578|994|1199|1214|1224|1404|1527|1658|1675|1719|1957|2600|2968|3514|3723|3748|3857
66::Chris Tucker::42|69|470|1527|1604|1729|2273
68::Fritz Lang::1572
85::Johnny Depp::89|224|235|337|714|1090|1347|1441|1466|1884|1973|2291|2813|2827|3081|3355
86::Bruce Brown::443|2984|3653
92::Robert August::3653
93::Esther García::3083
98::Sarah Polley::233|1719|1879|2086|2580|2600|2885|3008|3876
99::Amanda Plummer::188|296|543|696|1034|1119|1566|1583|2120|3108|3626|3802
100::Scott Speedman::3901
102::Debbie Harry::764|1589|2327|2543|2926
103::Mark Ruffalo::2128|2188|3562
108::Peter Jackson::247|1241|1255
109::Elijah Wood::340|505|711|1635|1876|2011|2428|3269|3323|3509
110::Viggo Mortensen::161|188|431|798|1352|1379|1417|1586|1674|1892|2461|2570|3165|3534
112::Cate Blanchett::1507|2336|2598|3176
113::Christopher Lee::747|1941|2004|2091|2522|2634|2645|2652|2655|2729|3081|3406|3417|3490|3639|3875
114::Orlando Bloom::2437
116::Keira Knightley::2628
118::Geoffrey Rush::1357|1516|1873|2336|2396|2601|2723
126::Fran Walsh::1241
130::Kenny Baker::260|1196|1210|1225|1967|2193|2313|2349|2559|2628|2968
131::Jake Gyllenhaal::1824|2501
133::Peter Sarsgaard::36|1801|2440|2678|2908|3863
134::Jamie Foxx::708|725|1468|2253|3173|3595|3898
138::Quentin Tarantino::18|70|163|228|296|639|795|1000|1089|1729|2499
139::Uma Thurman::94|296|444|708|753|1562|1653|1873|2020|2153|3129|3557|3756
140::Lucy Liu::1447|1472|1705|2490|2561|2914|3180|3624
141::David Carradine::2511|3371|3495|3705
147::Michael Madsen::169|196|383|455|459|707|1089|1093|1466|1862|3098|3418
150::RZA::1470|3328
152::Jim Morrison::77
155::Lucas Black::340|1358|1401|1909|2977
169::Hanns Zischler::1437|3720|3920
188::Michael Hynson::3653
190::Clint Eastwood::105|158|474|507|1201|1266|1459|2401|2476|2561|2656|2951|3366|3427|3508|3681|3682|3769|3827|3834|3836
192::Morgan Freeman::47|292|318|650|836|1027|1242|1266|1620|1693|1752|1876|1962|3130|3789|3893|3906
193::Gene Hackman::21|141|161|303|383|454|458|1003|1006|1084|1266|1278|1459|1791|1953|2013|2294|2353|2640|2641|2643|2929|3360|3505|3730|3861|3906
194::Richard Harris::40|1266|1480|3256|3578|3654
198::Dan Castellaneta::270|350|546|631|673|1839|2248|2418
199::Julie Kavner::237|472|1701|1911|2570|2750|3105|3319
200::Nancy Cartwright::1882|2081|2123|2800|2987
204::Kate Winslet::17|247|258|1056|1411|1721|2590|3127
205::Kirsten Dunst::2|253|261|893|1688|1747|1920|2718|2759|3130|3556|3563|3882
206::Jim Carrey::19|153|231|344|367|784|1485|1682|2236|2469|3174|3515|3752
207::Tom Wilkinson::17|299|1049|1480|1641|2062|2273|2396|2437|3323|3753
209::Jane Adams::5|360|369|869|1767|2318|2424|2883|3317
211::Debbon Ayer::417|1488|1541|1836|3557
212::David Cross::228|708|784|1449|1580|1920|3323
213::Gerry Robert Byrne::281|1112|3174
224::David Cronenberg::45|554|747|1483|2455|2551|3008
227::William Hurt::194|499|530|554|613|1306|1409|1748|1820|1831|2243|2272|2312|2352|2917|3720|3874
228::Ed Harris::14|61|150|257|276|454|733|1095|1127|1231|1459|1682|2120|2432|3015|3016|3111|3183|3805
229::Peter MacNeill::1483|1879|2884|3510
230::Stephen McHattie::420|458|634|2466
233::Sumela Kay::3793
234::Gerry Quigley::45|325|549|801|1003|2600|3128
236::Bill MacDonald::1003|1047|1468|2540
237::Aidan Devine::178|2818
241::Arthur C. Clarke::2311
245::Keir Dullea::924|2311
246::Gary Lockwood::924|3330
247::William Sylvester::924|2779
248::Daniel Richter::924
249::Leonard Rossiter::924|1951|2730|3215
250::Margaret Tyzack::924|1206|1684|3547
251::Robert Beatty::924|1967|2642|2643|3366|3406
252::Sean Sullivan::924|2118|2130
253::Douglas Rain::924|1077|2311
259::Vanessa Bauche::2006
262::Álvaro Guerrero::2745
280::Terry Gilliam::1080|1199|2788
287::Brad Pitt::32|47|253|266|447|481|555|1061|1488|1619|2340|2959|3100|3418
288::Jon Seda::32|218|359|431|628|1062|1167|1487|3482
289::Madeleine Stowe::32|415|416|422|535|1408|1820|2443|2688|3141
290::Christopher Plummer::32|382|1035|1286|1303|1372|2141|3006|3770
291::Frank Gorshin::32|1018
292::Frederick Strother::32|2314|3714
309::Pedro Almodóvar::1191
311::Michel Ruben::3083
312::Jon Brion::1673
326::Kim Basinger::305|459|592|1617|2270|2741|3098|3254|3394|3395|3579|3707|3857
327::Mekhi Phifer::159|833|1621|1903|2338|3744
328::Brittany Murphy::39|1034|1756|2199|2718|3186
333::Evan Jones::882
335::Michael Shannon::1265|3747|3858|3950
336::Xzibit::2508
342::Eugene Byrd::714|1061|1723
343::Taryn Manning::3905
349::Scott Glenn::189|593|647|1208|1231|1459|1610|1744|2303|3107|3109|3556
350::Laura Linney::160|440|529|536|628|1459|1682
351::Judy Davis::503|514|1351|1459|1516|1701|2356
352::Dennis Haysbert::4|6|320|1459|1863|2672|2844|2906|3554
368::Reese Witherspoon::386|662|1034|1791|2045|2321|2541|2599|2842|3535
374::Charles McKeown::1080|1199|2968|3547
378::Jonathan Pryce::35|98|412|1095|1199|1416|1722|2097|2278|2468|2786|2840|3215
380::Robert De Niro::6|16|111|273|428|782|1061|1199|1213|1221|1227|1228|1263|1343|1399|1589|1729|1735|1747|2194|2264|2278|2539|2745|3103|3104|3105|3107|3115|3212|3706|3754|3948
381::Katherine Helmond::1199|1884|2177|2968
382::Bob Hoskins::13|14|546|1040|1199|1298|1409|1760|1896|2349|2350|2987|3055|3489
383::Michael Palin::1079|1080|1199|1425|2788|2968
385::Ian Richardson::488|1199|1243|1490|1675|1748|2559
386::Peter Vaughan::515|1040|1199|1366|1873|2553|2691|2786|2928|2968
387::Kim Greist::609|1015|1199
388::Jim Broadbent::41|348|452|571|580|1040|1094|1177|1199|1480|1549|1848|2153|2390|2643|2968|3163
389::Alison Eastwood::1459|1711|2507|2589|3834
399::Mariola Fuentes::1844
400::Geraldine Chaplin::57|412|613|1896|2067|2270|2303|3559
402::Pina Bausch::2897
404::Melora Hardin::1459|2094|2473|2815
407::Gill Dennis::3676
408::James Keach::2928
418::Robert Patrick::485|589|762|1370|1465|1589|2428|3253
426::Larry Bagby::2052
427::Sandra Ellis Lafferty::188|320|366
428::Dan Beene::1626
434::Lisa Beach::1407|3273
448::Hilary Swank::502|2908|3264
449::Jay Baruchel::3897
452::Margo Martindale::7|36|281|454|1100|1399|1401|1677|1791|2094|2316|2446|3534
454::Michael Peña::1390|1613
477::Julie Walters::571|1528|3547
480::Gary Lewis::319|2481|3538|3748
486::Wallace Wolodarsky::2395
488::Steven Spielberg::1387|2003|2270
500::Tom Cruise::253|454|648|1100|1101|1378|1393|1961|2114|2143|2268|2474|2712|2915|3160|3259|3623
502::Miranda Otto::1585|2427|3798
504::Tim Robbins::252|305|318|471|535|1101|1171|2257|2289|2450|2707|3354|3361|3426|3476|3481
506::John Scurti::94|514
508::David Koepp::1544
510::Tim Burton::551|2270|3261|3396
511::Larry Franco::2288
514::Jack Nicholson::78|382|592|1193|1252|1258|1351|1391|1410|1784|1958|2243|2268|2417|2747|2780|2877|2929|3141|3167|3168|3200|3201|3529|3588|3685
515::Glenn Close::92|116|371|469|1367|1391|1507|1608|2020|2352|2583|2687|3098|3101|3102|3723
516::Annette Bening::11|41|270|1179|1391|2334|2446|2858|3326
517::Pierce Brosnan::10|270|500|1037|1353|1391|1438|1722|1881|2763|3082|3523|3748
518::Danny DeVito::21|256|516|837|1193|1377|1391|1395|1566|1580|1617|1672|1958|2331|2405|2406|2463|3174|3324|3556|3566|3596
519::Martin Short::5|1391|1583|2394|2478|2883|3400
520::Sarah Jessica Parker::118|235|278|544|779|830|1003|1384|1391|2046|2052|2108|2828|3614|3791
521::Michael J. Fox::11|156|394|453|486|609|799|1015|1270|1391|2011|2012|2755|3157
522::Rod Steiger::315|867|1327|1391|1523|1675|1945|1950|2067|2977|3113|3178|3789
523::Tom Jones::1391|3124
524::Natalie Portman::6|94|1057|1391|2628|3051|3565
526::Lukas Haas::703|1057|1063|1391|1674|2507|3647
528::Sylvia Sidney::1391|2174|2210|2789|3154
529::Guy Pearce::345|1617|2560|3513
530::Carrie-Anne Moss::2571|3884
531::Danny Elfman::551
532::Joe Pantoliano::119|145|430|457|866|2005|2457|2571|2684|2915|3104|3478|3509|3511|3586
534::Mark Boone Junior::47|303|458|1051|1370|1465|1625|1666|2328|2338|2427|2688|3184|3271|3455|3946
537::Stephen Tobolowsky::280|430|513|521|609|1004|1092|1179|1265|1396|1731|1853|1869|2235|2252|3006|3033|3274|3418|3495|3705
538::Harriet Sansom Harris::300|410|1059|3893
539::Thomas Lennon::2718
540::Callum Keith Rennie::103|341|379|1146|1605|2342|2600|3008
543::Marianne Muellerleile::494|518|605|1140|1187|1240|1453|1485|1632|1853|1998|3512|3524|3712
544::Larry Holden::129
545::Matthew Barry::161|235|2269|2273|3505
546::Jeanne McCarthy::2348|3263
556::Emma Thomas::2579
558::David Julyan::2579
564::Richard Linklater::215|335|1405
568::Kim Krizan::441
569::Ethan Hawke::215|372|1246|1653|1735|1804|2715|2963|3185|3250
571::Andrea Eckert::215
572::Hanno Pöschl::215
573::Karl Bruckschwaiger::215
574::Tex Rubinowitz::215
585::Rutger Hauer::541|547|560|2756|3029|3264|3479
586::Sean Young::344|401|444|445|541|1052|1663|2021|2255|3401|3505
587::Edward James Olmos::279|401|444|541|997|1487|3483|3553
588::M. Emmet Walsh::169|245|297|437|541|805|1059|1352|1394|1569|1679|1791|1952|1956|2109|2242|2347|2371|2416|2522|2533|2701|2761|2929|3037|3284|3371|3388|3403|3474|3683|3735|3766|3810
589::Daryl Hannah::3|200|541|575|618|1841|1857|2100|2147|2347|2498|2973|3450|3732|3844
590::William Sanderson::350|541|996|2094|2371|2855
