1::George Lucas::260|2628|3363
13::Albert Brooks::1414|2829|3358
24::Robert Zemeckis::356|1270|1584|2011|2012|2406|2987|3258|3798
31::Tom Hanks::1042
33::Gary Sinise::3271
35::Sally Field::3912
39::Sam Mendes::2858
40::Orson Welles::923|1248
42::Lars von Trier::1354|3569|3910
59::Luc Besson::1216|1249|1527|3053
64::Gary Oldman::1846
68::Fritz Lang::2823|3377
70::Karl Freund::2633
86::Bruce Brown::443|2984|3653
108::Peter Jackson::247|799|1241|1255
138::Quentin Tarantino::18|296|1089|1729
154::Walter Murch::2093
172::Michael Winterbottom::696|1056|1670|1872|3823
185::Katsuhiro Otomo::1274
190::Clint Eastwood::105|507|1266|1459|1711|2401|2476|2561|3508|3827|3834
224::David Cronenberg::488|1483|2118|2455|2551|2600
240::Stanley Kubrick::924|1178|1206|1222|1258|2712|2726|2727|2728|2729|2730
280::Terry Gilliam::32|1199|1884|2968|3108
309::Pedro Almodóvar::567|617|1190|1844|3067|3083
323::Curtis Hanson::376|1617|2753|3249|3317
324::Scott Silver::1063|2568
356::Jack N. Green::1508
366::James Mangold::764|1589|3186
372::Tom Stoppard::1243
380::Robert De Niro::428
408::James Keach::197
486::Wallace Wolodarsky::394
488::Steven Spielberg::480|527|1097|1198|1291|1387|1544|1693|2028|2115|2739|3471|3489|3738
504::Tim Robbins::36|1171
508::David Koepp::882|2841
510::Tim Burton::235|592|1377|1391|2174|2291|3081|3608
514::Jack Nicholson::3141
518::Danny DeVito::837
525::Christopher Nolan::2579
564::Richard Linklater::215|441|1454|1804
578::Ridley Scott::86|541|1214|1586|2143|2956|3418|3578
583::Hampton Fancher::2844
607::Zhang Yimou::326|1280|3289
638::Michael Mann::6|1408|3006
648::Philip Kaufman::517|1231|1295
664::Frank Marshall::160|2699|3250
686::Willard Huyck::2450
707::Dan Aykroyd::2265
716::Emile Ardolino::1088|3247
769::Martin Brest::2340|3104|3252
774::Daniel Petrie Jr.::473
793::Luis Buñuel::154|820
814::Tony Kaye::2329
819::Edward Norton::3536
