user_id,precision_at_k,recall_at_k,f1_at_k,ndcg_at_k,hit_rate_at_k,average_precision,intra_list_similarity,gini_index,num_recommendations,num_relevant
1,0.1,1.0,0.18181818181818182,0.6309297535714575,1.0,0.5,0.46569785,0.252886796705701,10,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.44882715,0.2832730228341969,10,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.41939014,0.21098001675703965,10,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.44835892,0.23729347238265,10,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.432936,0.14244965870514878,10,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.39190567,0.33106570903486093,10,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.43961602,0.1268144865624235,10,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.3758044,0.16451854720004935,10,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.46246818,0.16018960790683537,10,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.3989843,0.20896459669384643,10,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.43114892,0.2370031545919417,10,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.41829512,0.0957068861005391,10,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.39261034,0.15063421150215922,10,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.42638487,0.31504043387143515,10,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.43906516,0.153878020608515,10,0
16,0.1,1.0,0.18181818181818182,0.6309297535714575,1.0,0.5,0.37733036,0.20520919386017641,10,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.4260076,0.1238612759353824,10,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.38287553,0.14206890948883172,10,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.37880537,0.24626421834076523,10,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.45640105,0.1311065262507741,10,0
